"","no.users","Discipline","pc.pro","Business","JD.Second","inv.mlsto.log","client.totinv.log","pc.majpos.log","Billing.Type","majority.pos","return.pdol","Year","b.timespan.cbrt","b.inv.log","code.client","code.contact","mlsto","b.rpdol"
"2048",1,"Structural",100,"architect","parks and open spaces",6.74937288329299,10.6552538157508,4.60517018598809,"Fixed Quote","director",0.5,2013,"1d-3wk","600-2.5k","C2236",NA,"2013.386.3","0"
"2049",1,"Structural",100,"architect","edu_exten_community",5.90207502290579,8.13479303050612,4.60517018598809,"Hourly Rate","director",0.5,2013,"1d-3wk","100-600","C2168","CN1127","2013.388.3","0"
"2050",2,"Structural",95.24,"architect","residential",8.30500808973412,9.00126366702698,4.55640002161866,"Fixed Quote","director",1.43053435114504,2013,"2.5m-9m","2.5k-8k","C2869","CN1585","2013.389.3","0"
"2051",2,"Structural",100,"architect","heritage_expert",8.71214683840031,9.18164661547466,4.60517018598809,"Fixed Quote","director",0.359090909090909,2013,"9m-1.5y","2.5k-8k","C2469","CN1200","2013.391.3","0"
"2052",1,"Structural",100,"architect","hosp_health_carpark",6.92372627043777,8.13707121597169,4.60517018598809,"Fixed Quote","director",0.25,2013,"1d-3wk","600-2.5k","C2049","CN1145","2013.401.3","0"
"2053",1,"Structural",100,"unknown","report",5.94289701742605,5.92692602597041,4.60517018598809,"Fixed Quote","director",1.34375,2013,"1d-3wk","100-600",NA,NA,"2013.402.3","0"
"2054",2,"Water",100,"road_rail_gov_util","waste_wat_manage",8.88125720725548,11.3384861217504,4.37889674166495,"Fixed Quote","gradpro",-0.0681815789473684,2013,"2.5m-9m","2.5k-8k","C2333",NA,"2013.403.4","1"
"2055",3,"Environmental Planning",100,"architect","waste_wat_manage",8.16210050148104,10.0459540950504,4.43081679884331,"Hourly Rate","gradpro",0.496746203904555,2013,"2.5m-9m","2.5k-8k","C2134","CN1932","2013.409.6","0"
"2056",1,"Structural",100,"enviro_water","heritage_expert",9.25587016567336,9.53731046300849,4.60517018598809,"Fixed Quote","seniorpro",0.716532204977277,2013,"3wk-2.5m","8k-60k","C2030","CN1850","2013.411.3","0"
"2057",9,"Civil",43.76,"resources","waste_wat_manage",11.3155639935978,11.2995930021422,3.69336935938679,"Fixed Quote","midtech",-0.434311872002241,2013,"9m-1.5y","60k-1.8m",NA,NA,"2013.412.2","1"
