"","no.users","Discipline","pc.pro","Business","code.client","JD.Second","timespan.cbrt","inv.mlsto.log","client.totinv.log","pc.majpos.log","code.contact","Billing.Type","majority.pos","return.pdol","mlsto","Year"
"1169",6,"Structural",33.7,"architect","C2134","school",5.12992784003009,8.86155833419231,10.0459540950504,4.1940390562533,"CN1507",NA,"midtech",0.719244696130112,"2010.107",2010
"1170",1,"Structural",100,"artist","C2278",NA,2.35133468772076,7.17207771408468,7.80026548219089,4.60517018598809,NA,"Fixed Quote","director",0.371428571428571,"2010.108",2010
"1171",7,"Civil",58.5,"builder","C2918","civil works to bldg",5.40612017575022,8.932805074065,10.1390923391488,3.6831128592196,"CN1155",NA,"midtech",-0.016381891844284,"2010.109",2010
"1172",4,"Structural",91.15,"manufacturer/supplier","C2854","sign",7.56535477222513,9.24078476337037,7.90557069678047,4.43497480899198,"CN1398",NA,"midpro",0.377947043888284,"2010.110",2010
"1173",1,"Structural",100,"builder","C2113",NA,5.26563742817144,8.0013570689692,8.32320059219371,4.60517018598809,NA,"Fixed Quote","director",0.227678571428571,"2010.112",2010
"1174",1,"Structural",100,"architect","C2262","hospital",6.14463365137169,7.59952172891161,8.89168349522497,4.60517018598809,NA,"Hourly Rate","director",0.352941176470588,"2010.113",2010
"1175",2,"Structural",100,"manufacturer/supplier","C2206","product development",5.14256318131647,8.08836844595883,8.59460783336366,4.55387689160054,"CN1096","Fixed Quote","seniorpro",0.690140845070423,"2010.114",2010
"1176",4,"Water",100,"engineer","C2650","water management",10,10.585286008413,9.50669423552512,3.9419700817961,"CN1538","Fixed Quote","seniorpro",0.475101214574899,"2010.116",2010
"1177",29,"Civil",82.12,"developer/real estate","C2522","water harvesting",11.9698316267369,13.4312595763309,12.1456017337747,3.36729582998647,"CN1406","Fixed Quote","seniorpro",0.13204736859172,"2010.117",2010
"1178",8,"Structural",43.21,"builder","C2297",NA,4.39682967215818,9.5924458427351,10.4423570452036,3.84631046206276,"CN1902",NA,"seniortech",0.13797001322574,"2010.118",2010
"1179",6,"Structural",100,"manufacturer/supplier","C2206","product development",11.5704559317755,10.2621727490869,8.59460783336366,4.21803603456465,"CN1096","Fixed Quote","seniorpro",0.418392040871202,"2010.120",2010
"1180",3,"Structural",31.03,"architect","C2236","architectural house",7.73061405251592,8.42721880498501,10.6552538157508,4.01041932728434,"CN1876","Fixed Quote","midtech",1.92361111111111,"2010.121",2010
"1181",3,"Water",100,"utilities provider",NA,NA,5.45136177849642,11.1327321409246,11.050731262616,4.19449151082704,NA,NA,"seniorpro",0.340373610790742,"2010.124",2010
"1182",1,"Structural",100,"person",NA,NA,1,6.3919191565351,6.30991827822652,4.60517018598809,NA,"Hourly Rate","seniorpro",0.0628019323671498,"2010.127",2010
"1183",1,"Structural",100,"body corportate",NA,NA,2.66840164872194,7.82266528022582,7.74066440191724,4.60517018598809,NA,"Hourly Rate","director",0.382967849003963,"2010.129",2010
"1184",4,"Structural",83.44,"builder","C2297","school",5.22932153175598,9.31995641731774,10.4423570452036,4.36348071738678,"CN1902",NA,"seniorpro",0.540940603335207,"2010.133",2010
"1185",7,"Civil",57.21,"unknown",NA,NA,10.3633075807165,10.1252503732199,10.0432494949113,3.71015158938948,NA,NA,"midtech",-0.361182090878791,"2010.134",2010
"1186",2,"Structural",99.35,"business",NA,NA,8.74598455211722,8.85499840327858,8.77299752496999,4.59864896899783,NA,"Hourly Rate","seniorpro",0.440200724839699,"2010.136",2010
"1187",3,"Structural",0,"architect","C2250","architectural house",7.67443027880998,8.89929866217516,9.99913858333506,NA,NA,NA,NA,-0.271844660194175,"2010.137",2010
"1188",3,"Structural",93.99,"manufacturer/supplier","C2854",NA,5.90594058362449,9.07356440103449,7.90557069678047,4.50236196600641,"CN1398","Hourly Rate","midpro",0.325909240924092,"2010.140",2010
"1189",2,"Structural",10.6,"builder","C2863",NA,7.7250323797793,9.47466280707872,8.34626251154896,4.49312068217947,NA,"Hourly Rate","seniortech",0.138790035587189,"2010.142",2010
"1190",2,"Structural",100,"signs","C2403","sign",6.72395081359793,9.07852902639944,7.9311050831497,4.48908570696729,"CN1336","Hourly Rate","director",0.00576054803051534,"2010.144",2010
"1191",1,"Structural",100,"roads/rail","C2828",NA,3.50339806038672,8.95546893364221,8.67190028784364,4.60517018598809,NA,NA,"director",0.0656716417910448,"2010.145",2010
"1192",4,"Structural",99.99,"architect","C2973","refurb/renovation",7.3061435740628,8.39585314570679,8.96565903885552,4.33689850705613,NA,NA,"seniorpro",0.436619718309859,"2010.150",2010
"1193",2,"Structural",100,"builder","C2364","architectural house",5.12992784003009,8.16068910753846,7.37227514987162,4.1634040981536,"CN1978","Hourly Rate","director",0.211267605633803,"2010.151",2010
"1194",1,"Structural",100,"architect","C2236","architectural house",2.0800838230519,7.39188236413337,10.6552538157508,4.60517018598809,NA,NA,"director",0.4375,"2010.152",2010
