"","X","no.users","Discipline","pc.pro","Business","JD.Second","inv.mlsto.log","client.totinv.log","pc.majpos.log","Billing.Type","majority.pos","return.pdol","Year","b.timespan.cbrt","b.inv.log","code.client","code.contact","mlsto","b.rpdol","f.rpdol","log","rf","boost","norm.log","norm.rf","norm.boost"
"290",290,2,"Structural",53.85,"road_rail_gov_util","sign_product",6.95520862966133,6.1527326947041,3.9862024036024,"Hourly Rate","director",0.774358974358974,2005,"2.5m-9m","600-2.5k","C2910",NA,"2005.091",0,"profit",0.271998820126036,0.395,0.41698097156666,0.647921423407667,0.628490254498827,-0.874714689959123
"291",291,3,"Structural",88.38,"architect","residential",10.0766564267311,9.64035239100384,4.45492852265755,"Fixed Quote","seniorpro",0.421043100325969,2005,"1.5y-3y","8k-60k","C2614",NA,"2005.092",0,"profit",0.191359967230632,0.228,0.215728939454309,0.57625808187636,0.477493455452533,-1.53373256929056
"292",292,2,"Civil",23.81,"developer/real estate","civBldg_subdiv_sewer",7.02227286024187,10.9548149934773,4.60517018598809,"Hourly Rate","director",0.131498470948012,2005,"1.5y-3y","600-2.5k","C2572",NA,"2005.093",0,"profit",0.811576114137345,0.616,0.88803702046768,0.932773971545942,0.784856674813943,-0.118741847143104
"293",293,2,"Structural",50,"enviro_water","wharf_bridge",7.63086265277376,8.31471953826891,3.91202300542815,"Fixed Quote","director",1.02380952380952,2005,"2.5m-9m","600-2.5k","C2713",NA,"2005.094",0,"profit",0.136713732550849,0.372,0.321323167995714,0.515154360428865,0.609918027279076,-1.1353079084082
"294",294,1,"Structural",100,"road_rail_gov_util","edu_exten_community",8.01652513358574,9.07754356661921,4.60517018598809,"Hourly Rate","director",0.417209457889038,2005,"2.5m-9m","2.5k-8k","C2483",NA,"2005.095",0,"profit",0.0449549523581021,0.039,0.0724097636659974,0.355570602188239,0.197484176581315,-2.62541413141773
"295",295,2,"Structural",15,"sign_manufac","residential",8.26338521151727,7.70818612476176,3.91202300542815,"Hourly Rate","director",0.608040201005025,2005,"2.5m-9m","2.5k-8k","C2866",NA,"2005.096",0,"profit",0.215885514061731,0.236,0.0760507546403418,0.599893975767477,0.485798312059645,-2.57635433737614
"296",296,2,"Structural",7.5,"enviro_water","residential",8.89698141245068,8.31471953826891,4.38202663467388,"Fixed Quote","seniortech",0.839816933638444,2005,"9m-1.5y","2.5k-8k","C2713",NA,"2005.098",0,"profit",0.520268705774031,0.322,0.216657030427897,0.804283639690363,0.567450438364444,-1.52943968069777
"297",297,1,"Structural",100,"road_rail_gov_util","edu_exten_community",7.79338158227153,9.07754356661921,4.60517018598809,"Fixed Quote","director",0.355932203389831,2005,"3wk-2.5m","600-2.5k","C2483",NA,"2005.100",0,"profit",0.0989039819971016,0.023,0.084799342606915,0.462456895126042,0.151657508881031,-2.46746748849127
"298",298,1,"Structural",100,"engineer","residential",7.54492022297303,11.7987991282354,4.60517018598809,"Fixed Quote","director",0.56,2005,"3wk-2.5m","600-2.5k","C2475",NA,"2005.101",0,"profit",0.120463957794,0.347,0.136557921192134,0.493877274219831,0.589067059000926,-1.99100642328219
"299",299,2,"Structural",24.42,"architect","residential",8.19884669037969,8.93047169529196,4.41304068820305,"Fixed Quote","seniortech",0.246105919003115,2005,"9m-1.5y","2.5k-8k","C2056",NA,"2005.102",0,"profit",0.51584431260708,0.327,0.32227890362882,0.801997255712009,0.571839138219832,-1.13233794800018
